,competence,tube,skill_id,level,challenge_id,instruction,delta,alpha,type,timer,hasEmbedUrl,pedagogy,format
0,3.1,@structureHiérarchique,skill2dXMc5DNNlrCap,2,challenge1bE0ouMOaEkBPA,Edit the following list so that it is automatically numbered.,-0.591503381729126,1.571278691291809,QROC,,True,e-preuve,mots
1,2.1,@gestionMails,skill2Xy4MQFfb2m40f,3,challenge1NshdiuhU5ibyl,"In the email messaging service below:

* A message has been deleted. 
* A message has been started but not sent. 
* A message has been sent to Samia. 

For each of these messages, what is the subject?",-0.4286580085754394,1.6399123668670654,QROCM-ind,,True,q-situation,mots
2,1.3,@tri,recPiCGFhfgervqr5,4,rec1iIyg9tsVrsy2p,"The file contains a table showing the size of the populations in 377 towns of West Africa. 
 
 Sort the table so that the most populated towns are shown first. 
 
 What word appears vertically in the **first nine** cells of the Code column?",0.8355162441730499,1.613672137260437,QROC,,False,e-preuve,mots
3,1.3,@form_nb,recPLREwTLP8MZ7Ib,6,rec2cGlo8uKPwuV4v,"Make cell A1 show **exactly** what is shown in this image.
 
 What word appears in B1?",1.7970924377441406,1.790573000907898,QROC,,False,e-preuve,petit
4,3.1,@outilsStdTexte,recgDJuwchsgWlsV0,4,challenge1oO3itXlVQlNhl,"Replace the word **bibendum** with the word **address** throughout the text.
 
How many characters does the document contain after this change (including spaces)?",1.6633018255233765,1.7975647449493408,QROC,,False,e-preuve,nombre
5,4.2,@tracesPratiques,recQMvNC7GFz9CEQQ,5,rec1WxB4zJ7XSjfv0,"On 26 July 2018, [this Wikipedia page](https://en.wikipedia.org/wiki/Atlanta) was edited.

Which country was the author of this contribution in?",1.8740809559822083,1.744576871395111,QROC,,False,e-preuve,mots
6,3.2,@manipVect,recjPEwEPLKpXlpV3,4,challenge14gpSle5vlTs7V,"In the presentation, without changing their position in the sheet:
- Put the black rectangle to the back.
- Bring the blue rectangle to the front.
- Bring the hatched rectangle to the front.
 
What word appears?",1.0135779082775116,2.078401207923889,QROC,,False,e-preuve,petit
7,3.2,@couleur,rec1uyH1VBlVsVqm3,1,recVE8pxNt5EolkA,"In the drawing application below, fill the heart with the colour of your choice.

Which word appears?",-2.6316182613372803,1.4629864692687988,QROC,,True,e-preuve,petit
8,4.1,@choixmotdepasse,recF9oTiR8fMSnQoo,3,rec1tqQaRQKmsErIr,"Julia’s social media account has been hacked.
 
Her eight-character password was easy to guess using information anyone can find online on her public profile.
 
Here is her public profile page and [a link to the social network](https://epreuves.pix.fr/en_perso3.html#0251095303010006).
 
You need to find her password to find out who wants to become Julia’s friend.",0.01094105094671245,1.2767614722251892,QROC,,False,e-preuve,mots
9,2.1,@gestionMails,skillPuDp1iFG72CuB,4,challenge1oLTMKK7wx5c1k,"The email messaging service below has been set up to **automatically file** certain emails in the Family folder.
 
Amelia’s email has been filed in this folder because it contains one word in particular. Which one?",1.826237678527832,2.240501284599304,QROC,,True,e-preuve,petit
10,1.3,@extraire,rec1vRwGybfjq1Adm,1,challenge29QQ7phSFrDQOG,"The table below displays a shoe catalog. 

Using a filter, only display the **red-coloured** shoes. 

How many items do you get?",-0.9751124680042267,1.557478904724121,QROC,,True,e-preuve,nombre
11,1.1,@url,rec6QF6wqqkQn9dN3,3,rechO4YNXTLIYCMHf,"Consultez la page à l’adresse https://epreuves.pix.fr/secret/secret.html

Quel prénom s’affiche sur cette page ?",-0.8609111905097961,1.40084969997406,QROC,,False,e-preuve,petit
12,2.2,@configRS,recl2tGiH1aQcAVQP,4,challenge2ITyauzjiDB8rS,"Martine Coulignant consulte [son compte LinkedIn](https://epreuves.pix.fr/informations_linkedin.html?mode=martine-coulignant_3).

D’après les informations présentes sur la page, que peut-on dire ?",0.8617264628410339,1.1635067462921145,QROCM-ind,,False,q-situation,petit
13,4.1,@choixmotdepasse,recF9oTiR8fMSnQoo,3,recQW1sFZpJjMMHRH,"Julia s'est fait pirater son compte sur un réseau social.

Son mot de passe de 8 caractères était facile à deviner à partir des informations que tout le monde peut consulter en ligne sur son profil public.

Vous devez trouver **son mot de passe** pour découvrir qui veut devenir l'ami de Julia.

Voici sa page de profil public et [le lien pour accéder au réseau social](https://epreuves.pix.fr/perso3.html#03030950015e005105000459045604550100).",0.010275088250637,1.2611907720565796,QROC,,False,e-preuve,mots
14,1.3,@graphique,rec8ygbQq9CUBjeS2,4,recYfROK2nNfA3Ox6,"Dans ce fichier, réalisez le graphique XY (nuage de points ou dispersion), avec les X en abscisse.

Dans le graphique, les points dessinent un nombre. Lequel ?",1.159873604774475,1.8588582277297971,QROC,,False,e-preuve,nombre
15,3.2,@couleur,rec1uyH1VBlVsVqm3,1,recZRrjMsznwJOJt,"Dans l’application de dessin ci-dessous, remplissez le cœur avec la couleur de votre choix.

Quel mot apparaît ?",-2.6183667182922363,1.4633480310440063,QROC,,True,e-preuve,petit
16,2.3,@modeRevision,recndA9SGppAM2ClX,6,recUOLs2nqe8c9ut4,"Samira a modifié le menu du jour que Juliette lui avait envoyé.

Retrouvez les modifications proposées par Samira : 

- acceptez celles concernant les entrées,

- refusez celles concernant les plats et les desserts.

Combien de caractères (en incluant les espaces) contient la version finale du menu ?",2.4479622840881348,1.312979817390442,QROC,,False,e-preuve,nombre
17,2.3,@modeRevision,recXbHW1c8aMwoagT,5,recbHPgSoZzplrrUM,"Gertrude a préparé la liste des affaires à prendre pour l'excursion. 

Juliette a modifié cette liste en utilisant le mode **suivi des modifications** proposé par le traitement de texte.",1.0479307174682615,1.5614386796951294,QROCM-ind,,False,e-preuve,mots
